© 2000-2019 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
UBE2K	transcription regulator	2.16E-02	UBD	 
miR-512-3p (miRNAs w/seed AGUGCUG)	mature microRNA	2.16E-02	CFLAR	 
miR-513a-5p (miRNAs w/seed UCACAGG)	mature microRNA	2.16E-02	CD274	 
miR-602 (miRNAs w/seed ACACGGG)	mature microRNA	2.16E-02	RASSF1	 
mir-602	microRNA	2.16E-02	RASSF1	 
LATS	group	2.16E-02	CCN5	 
AQUAPORIN	group	2.16E-02	IL1B	 
CAMK2	group	2.16E-02	BIRC3	 
COL4A2	other	2.16E-02	FAS	 
CKAP4	other	2.16E-02	CCN2	 
KCNA1	ion channel	2.16E-02	KCNB1	 
STXBP2	transporter	2.16E-02	STX11	 
ALDH1A3	enzyme	2.16E-02	OTOP1	 
aloperine	chemical reagent	2.16E-02	CFLAR	 
KIF11	other	2.16E-02	CFLAR	 
XRCC1	other	2.16E-02	APLF	 
SNRPD1	other	2.16E-02	MAP1LC3A	 
Uox	enzyme	2.16E-02	IL1B	 
ceritinib	chemical drug	2.16E-02	CD274	 
silvestrol	chemical - endogenous non-mammalian	2.16E-02	MUC1	 
CR-1-31-B	chemical reagent	2.16E-02	MUC1	 
alectinib	chemical drug	2.16E-02	CD274	 
RASSF1-AS1	other	2.16E-02	RASSF1	 
STXBP1	transporter	2.16E-02	STX11	 
F12	peptidase	2.16E-02	IL1B	 
quercetin-3-methyl ether	chemical reagent	2.16E-02	IL1B	 
quercetin-3,4'-dimethyl ether	chemical reagent	2.16E-02	IL1B	 
GTx-560	chemical reagent	2.16E-02	PROS1	 
Flt1	kinase	2.16E-02	ATF3	 
DFFA	enzyme	2.16E-02	DFFB	 
minozac free base	chemical reagent	2.16E-02	IL1B	 
EIF4A1	translation regulator	2.16E-02	MUC1	 
(R)-PFI-2	chemical reagent	2.16E-02	CCN2	 
Rhodobacter sphaeroides lipopolysaccharide	chemical - endogenous non-mammalian	2.16E-02	IL1B	 
RG108	chemical reagent	2.16E-02	RASSF1	 
kurarinone	chemical reagent	2.16E-02	CFLAR	 
diclofenac/hyaluronic acid	chemical drug	2.16E-02	CFLAR	 
TMCG	chemical reagent	2.16E-02	RASSF1	 
oltipraz metabolite M2	chemical reagent	2.16E-02	SREBF1	 
melissa officinalis essential oil	chemical reagent	2.16E-02	SREBF1	 
mahanine	chemical reagent	2.16E-02	RASSF1	 
droxinostat	chemical reagent	2.16E-02	CFLAR	 
licochalcone E	chemical reagent	2.16E-02	SREBF1	 
licochalcone A	chemical reagent	2.16E-02	SREBF1	 
rheoswitch ligand 1	chemical reagent	2.16E-02	DNAJC12	 
amurensin G	chemical reagent	2.16E-02	CFLAR	 
anti-miR-29a inhibitor	chemical reagent	2.16E-02	TIMP3	 
erteberel	chemical drug	2.16E-02	IL1B	 
lipophosphonoglycan	chemical - endogenous non-mammalian	2.16E-02	IL1B	 
fluticasone/salmeterol	chemical drug	2.16E-02	CD274	 
3-hydroxybutyric acid	chemical - endogenous mammalian	2.16E-02	IL1B	 
methaneselenol	chemical - endogenous non-mammalian	2.16E-02	ULBP2	 
trichlorfon	chemical toxicant	2.16E-02	ACHE	 
2,4-dichlorobenzamil	chemical reagent	2.16E-02	CCN2	 
phytosphingosine	chemical - endogenous mammalian	2.16E-02	CLDN1	 
bisindolylmaleimide III	chemical - kinase inhibitor	2.16E-02	CFLAR	 
rhapontin	chemical - endogenous non-mammalian	2.16E-02	FASN	 
boric acid	chemical drug	2.16E-02	MUC1	 
leucyl-leucine-methyl ester	biologic drug	2.16E-02	IL1B	 
(des-Arg10,Leu9)-kallidin	chemical reagent	2.16E-02	CCN2	 
Gly-Gln	chemical reagent	2.16E-02	ACHE	 
cytisine	chemical drug	2.16E-02	FOSB	 
podophyllotoxin	chemical drug	2.16E-02	CCN2	 
17S-hydroperoxy-docosahexaenoic acid	chemical - endogenous mammalian	2.16E-02	IL1B	 
UMP	chemical - endogenous mammalian	2.16E-02	IL1B	 
cladribine	chemical drug	2.16E-02	IL1B	 
OSU8-1	chemical - protease inhibitor	2.16E-02	HBEGF	 
3-deoxyglucosone	chemical - endogenous mammalian	2.16E-02	HBEGF	 
beta-tocopherol	chemical - endogenous mammalian	2.16E-02	CCN2	 
ELOVL5	enzyme	2.21E-02	FADS2,FASN,SCD	 
CDH11	other	2.21E-02	CCN5,ITGB2,TFAP2C	 
TRADD	other	2.21E-02	RND1,TNFAIP2,UBD	 
titanium dioxide	chemical drug	2.21E-02	CRYAB,FAS,IL1B	 
RNF31	enzyme	2.21E-02	AREG,IL15RA,IL1B,IL1RN,IL31RA	 
levodopa	chemical - endogenous mammalian	2.23E-02	CAPG,CRTAC1,DAAM1,DBP,FOSB,GNAL,GPC3,GPD1,HBEGF,HECW1,KLHL6,LOR,LZTS3,MXD1,NOCT,PADI2,PPP4R4,SERPINB6,ST3GAL5,TNFAIP1,VAMP1,VTN,WDR17	 
IKZF1	transcription regulator	2.25E-02	CITED2,CYP2J2,DUSP5,EMP1,IFI6,IFIT3,IL7R,LMO2,MGLL,PROS1,RTP4	 
azathioprine	chemical drug	2.26E-02	IL21R,MAZ	 
teriflunomide	chemical drug	2.26E-02	FAS,IL1B	 
enzalutamide	chemical drug	2.26E-02	ERG,SOX2	 
CIC	transcription regulator	2.26E-02	DUSP4,MAFF	 
LINC-ROR	other	2.26E-02	FAS,SOX2	 
SART1	other	2.26E-02	DDIT4,SOX2	 
PARP2	enzyme	2.26E-02	FAS,FASN	 
CNB-001	chemical reagent	2.26E-02	ATF3,SLC7A11	 
NCOA6	transcription regulator	2.26E-02	FASN,SREBF1	 
TAS1R3	G-protein coupled receptor	2.26E-02	DDIT4,SLC7A11	 
NLRX1	other	2.28E-02	BIRC3,IL1B,OAS1,RELB	 
HSPA5	enzyme	2.28E-02	FASN,PLP1,SCD,SREBF1	 
CEBPB	transcription regulator	2.31E-02	AKR1B10,AKR1C3,CIRBP,DAB2,FAS,FBXO32,FHL1,IL1B,IL1RN,LY96,SAA1,SCD,SQOR,SREBF1,TUBB3,XDH	 
benzo(a)pyrene	chemical toxicant	2.33E-02	ARHGDIA,C1QTNF2,FASN,GPC1,HSPA1A/HSPA1B,IL1B,MAFF,PGD,TKT,TNFAIP2	 
BTNL2	transmembrane receptor	2.33E-02	DAPP1,GBP3,MXD1,PRXL2A,XDH	 
TNFRSF1A	transmembrane receptor	2.35E-02	BIRC3,CCN2,CD83,CFLAR,EFNA1,IL1B,LMO2,SAA1	 
nitric oxide	chemical - endogenous mammalian	2.35E-02	ATF3,CCN2,FAS,IL1B,IL7R,RXRG,TIMP3,TP53I3	 
nicotine	chemical drug	2.37E-02	CCN2,FASN,GRPR,IL1B,KCNB1,SLC18A3,SREBF1,TGM1,TRPC1	 
L-triiodothyronine	chemical - endogenous mammalian	2.40E-02	ACHE,C1S,CCN2,DBP,DIO3,DUSP5,EFNA1,FAS,FASN,GDF15,ID3,NTF3,OPN1SW,SCD,SREBF1	 
SH3TC2	other	2.43E-02	HMGCS1,MOBP,MVK	 
CA4	enzyme	2.43E-02	KRT13,KRT4,LOR	 
mir-135	microRNA	2.43E-02	CASP1,IL1B,MTSS1	 
NPC2	transporter	2.43E-02	AKR1C3,CREB5,MAP1LC3A	 
HOXA7	transcription regulator	2.43E-02	ERG,IL7R,TGM1	 
carbohydrate	chemical - endogenous mammalian	2.43E-02	FASN,SCD,SREBF1	 
deoxynivalenol	chemical toxicant	2.43E-02	CLDN1,IL1B,PAPSS2	 
TSC22D3	transcription regulator	2.43E-02	CD274,CD83,EDIL3,IL1B	 
IGFBP2	other	2.43E-02	GDF15,HHLA2,LGR5,RBMS3	 
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	chemical toxicant	2.45E-02	CASP1,CLDN1,FOSB,IL1B,NCF2	 
RARA	ligand-dependent nuclear receptor	2.53E-02	ATP6V0A4,CTSS,GDF15,GJB4,GLI1,HCP5,HLA-B,OAS1,RTP4,SFPQ,SLC7A11,SOX2,STRA6,TTLL11	 
dinoprost	chemical - endogenous mammalian	2.58E-02	AKR1C1/AKR1C2,HSPA1A/HSPA1B,ID3,IL1B,TIMP3	 
Notch	group	2.58E-02	ANKRD1,CNN1,HEYL,ID3,SOX2	 
galactosylceramide-alpha	chemical reagent	2.59E-02	CCN2,EBI3,IL1B,TNFRSF9	 
TLR3	transmembrane receptor	2.61E-02	ATF3,CD274,CFLAR,FAS,GBP3,IFI6,IFIT3,IL1B,IL1RN,ISG20,OAS1	 
tosedostat	chemical drug	2.65E-02	ATF3,DDIT4,SLC7A11	 
leucine	chemical - endogenous mammalian	2.65E-02	ATF3,FASN,SREBF1	 
GCK	kinase	2.65E-02	FASN,SCD,SREBF1	 
RPSA	translation regulator	2.65E-02	GBP3,IL1B,RELB	 
NCOA4	transcription regulator	2.65E-02	CCN2,GNAL,HSD17B6	 
bardoxolone methyl	chemical drug	2.65E-02	BIRC3,CFLAR,IL1B	 
mono-(2-ethylhexyl)phthalate	chemical toxicant	2.67E-02	ANGPTL4,DDIT4,FAS,FASN,GPD1,IL1B,OLR1,TKT	 
L-histidine	chemical - endogenous mammalian	2.67E-02	ATF3,DDIT4	 
WWC1	transcription regulator	2.67E-02	CCN2,FGF1	 
LAMTOR1	other	2.67E-02	FASN,SCD	 
MTORC2	complex	2.67E-02	FASN,SREBF1	 
PELI1	enzyme	2.67E-02	CFLAR,IL1B	 
RGS2	other	2.67E-02	HBEGF,SREBF1	 
G6PD	enzyme	2.67E-02	FASN,SREBF1	 
NELFB	other	2.67E-02	ATF3,CCN2	 
CTNNBIP1	other	2.67E-02	HMGCS1,TUBB3	 
CSK	kinase	2.67E-02	IL1B,ITGB2	 
C9	other	2.67E-02	CFLAR,IL1B	 
CACNA1A	ion channel	2.67E-02	CACNA1A,IL1B	 
ANGPTL4	other	2.67E-02	FASN,SREBF1	 
SR 144528	chemical reagent	2.67E-02	IL1B,IL1RN	 
beta-cyclodextrin	chemical - endogenous non-mammalian	2.67E-02	FASN,SREBF1	 
doxorubicin	chemical drug	2.69E-02	AREG,ATF3,BIRC3,CASP1,CCN2,CD274,CFLAR,DRAM1,DUSP5,FAS,GDF15,HBEGF,IL1B,MICB,OSGIN1,TP53I3	 
IL13	cytokine	2.70E-02	ATF3,CASP1,CCN2,CHST2,CTSS,CTSV,FADS2,FAS,IL1B,IL1RN,IL31RA,MAP3K7CL,MTSS1,RFTN1,SLC7A7	 
resveratrol	chemical drug	2.72E-02	ATF3,BIRC3,CFLAR,FAS,FASN,GDF15,GLI1,IL1B,IL7R,MICB,TGM1,ULBP2	 
NUPR1	transcription regulator	2.75E-02	AKAP12,AREG,ATF3,CAMK2N1,CITED2,COQ10A,CREB5,DUSP5,FAM111B,FGF1,GDF15,GPR1,HBEGF,LCE1F,MGLL,MXD1,RELB,SYTL2	 
CD3 group	group	2.76E-02	FASN,IL1B,MBOAT1,SCD	 
PTPN1	phosphatase	2.76E-02	CFLAR,FASN,SREBF1,TNFRSF9	 
chromium	chemical drug	2.76E-02	ARHGDIA,C1QTNF2,PGD,TNFAIP2	 
FOXO3	transcription regulator	2.78E-02	CARD16,CCN2,CFLAR,CLDN1,CTSV,DDIT4,ERG,FASN,FBXO32,FOSB,ITGB2,MAP1LC3A,MXD1	 
epigallocatechin-gallate	chemical drug	2.80E-02	CASP1,CCN2,CFLAR,FAS,FOSB,GBP3,GLI1,HSPB2,IL1B,RELB	 
MAP2K1/2	group	2.84E-02	ATF3,CCN2,DUSP4,IL1B,MYH2	 
NFKB2	transcription regulator	2.84E-02	BIRC3,CD83,CFLAR,CTSS,TNFAIP2	 
MYB	transcription regulator	2.84E-02	BIRC3,DHRS2,IL7R,MTSS1,NEURL3,SOX2,TNFRSF9,VAV1	 
glucocorticoid	chemical drug	2.84E-02	ACE2,ACHE,CCN2,DBP,FAS,FASN,HSPB2,IL1B,IL1RN,NCF2,OAS1,STX11	 
KDM5B	transcription regulator	2.87E-02	CCN2,CLDN1,FHL1,FJX1,INSIG1,REEP1,TUBB2A	 
mibolerone	chemical drug	2.87E-02	ABCA8,CCDC80,CEACAM1,FHL1,GPC3,HMGCS1,TIMP3	 
PRDM1	transcription regulator	2.88E-02	ANGPTL4,CLDN1,CPA4,DDIT4,ECM1,EVA1A,ID3,IL1B,IL7R,SMPDL3B	 
WNT3A	cytokine	2.88E-02	ARHGAP18,CCN2,CCN5,DDIT4,EOMES,GLI1,LGR5,LRRC17,RHOU,TIMP3,TUBB3	 
ELF3	transcription regulator	2.89E-02	ANGPTL4,KRT4,TIMP3	 
EIF2AK4	kinase	2.89E-02	ATF3,IL1B,PLP1	 
SMAD5	transcription regulator	2.89E-02	CCN2,ID3,ID4	 
TAB1	enzyme	2.89E-02	BIRC3,IL1B,SAA1	 
MAP3K1	kinase	2.93E-02	ATF3,BIRC3,FAS,MYH2	 
IL4R	transmembrane receptor	2.93E-02	FAS,IL1B,IL31RA,SOX2	 
NRAS	enzyme	2.97E-02	AKAP12,ANKRD1,CEACAM1,FHL1,IFI35,IL1B,IL1RN,NCF2,TUBB2A	 
streptozocin	chemical drug	3.03E-02	ATF3,CCN2,FAS,FASN,FBXO32,IL1B,NTF3,RPS6KA6,SCD,SREBF1	 
prednisolone	chemical drug	3.03E-02	BIRC3,CFLAR,CTSS,DRAM1,EVA1A,FAS,GLI1,IL1B,ISG20,MAP1LC3A	 
miR-34a-5p (and other miRNAs w/seed GGCAGUG)	mature microRNA	3.11E-02	ATF3,CCN5,DOCK8,SOX2	 
FGF10	growth factor	3.11E-02	SCD,SOX2,SPRY2,TIMP3	 
Pdgfr	group	3.11E-02	AREG,HBEGF	 
FH	enzyme	3.11E-02	AKR1C1/AKR1C2,TKT	 
XRCC5	enzyme	3.11E-02	FASN,XDH	 
GRIN1	ion channel	3.11E-02	IL1B,NTF3	 
2'3'-cyclic guanosine monophosphate-adenosine monophosphate	chemical - endogenous mammalian	3.11E-02	CASP1,IL1B	 
irinotecan	chemical drug	3.11E-02	FAS,IL1B	 
topiramate	chemical drug	3.11E-02	IL1B,NTF3	 
mannose	chemical - endogenous mammalian	3.11E-02	FASN,GPD1	 
clofibric acid	chemical drug	3.11E-02	CGB3 (includes others),SCD	 
USF1	transcription regulator	3.12E-02	AKAP12,CEACAM1,CTSS,FASN,FBXO32	 
CpG ODN 1826	chemical reagent	3.12E-02	CD274,CD83,IL1B,LY96,NCF2	 
EOMES	transcription regulator	3.12E-02	CRABP1,DHRS2,DUSP4,EOMES,GNAL,SOX2	 
ROR1	kinase	3.14E-02	CCN2,FSTL1,ITGB2	 
IFT88	other	3.14E-02	GLI1,HMGCS1,TIMP3	 
ALDH1A2	enzyme	3.14E-02	ATF3,CCN2,TIMP3	 
HOXC8	transcription regulator	3.14E-02	ANKRD1,CNN1,ELMO1	 
N-(3-(aminomethyl)benzyl)acetamidine	chemical reagent	3.14E-02	CASP1,CFLAR,FAS	 
ELAVL1	other	3.14E-02	ACHE,ATF3,CD83,CLDN1,CTSS,HOTAIR,OAS1,SLC7A11,SLC7A7	 
ADIPOQ	other	3.21E-02	CCN2,CGB3 (includes others),FASN,GPD1,HBEGF,NCF2,SCD,SREBF1	 
norepinephrine	chemical - endogenous mammalian	3.21E-02	CCN2,CHST2,EOMES,GDF15,GPD1,HHIP,IL1B,NR4A3	 
IL1A	cytokine	3.26E-02	ATF3,BIRC3,CD274,CD83,FAS,FOSB,IL1B,IL1RN,PDCD1LG2,SAA1	 
PP2/AG1879 tyrosine kinase inhibitor	chemical - kinase inhibitor	3.26E-02	BIRC3,CCN2,EPHA3,IL1B,VAV1	 
MBD3	other	3.26E-02	DAAM1,LGR5,LMO2,RHOU,SCD	 
IFNA1/IFNA13	cytokine	3.29E-02	CD83,IFI6,IL1B,OAS1	 
EBI3	cytokine	3.29E-02	CD274,EOMES,HLA-B,PDCD1LG2	 
di(2-ethylhexyl) phthalate	chemical toxicant	3.29E-02	CEACAM1,FOSB,SLCO2A1,SREBF1	 
valproic acid	chemical drug	3.32E-02	AKR1C3,ATF3,CD83,FAS,HMGCS1,HSD17B6,MICB,MVK,NTF3,PMM2,RDH16,SCD,SOX2,SREBF1,ST3GAL5,TUBB3,ULBP2	 
bisindolylmaleimide I	chemical - kinase inhibitor	3.37E-02	BIRC3,CCN2,CGB3 (includes others),CLDN1,GDF15,ID3	 
prostaglandin J2	chemical - endogenous mammalian	3.40E-02	CFLAR,GDF15,HSPA1A/HSPA1B	 
ARHGAP31	other	3.40E-02	CCN2,GDF15,MMP28	 
MMP14	peptidase	3.40E-02	ATF3,CSPG4,SLCO2A1	 
HSD11B1	enzyme	3.40E-02	ANGPTL4,FASN,SREBF1	 
SOST	other	3.40E-02	FASN,IL1B,SREBF1	 
RXRG	ligand-dependent nuclear receptor	3.40E-02	CRYAB,TIMP3,ULBP2	 
TRAF2	enzyme	3.41E-02	BIRC3,CFLAR,EBI3,EFNA1,FAS	 
TFRC	transporter	3.41E-02	ATF3,DDIT4,ITGB2,SERPINB8,SRXN1	 
FAS	transmembrane receptor	3.48E-02	ARHGDIA,BIRC3,CCN2,CD83,CFLAR,EFNA1,FAS,FOSB,IL15RA,IL1B,LAMP3,PHLDA2,PSD4,RND1	 
GNRH1	other	3.48E-02	CGB3 (includes others),DUSP4,FOSB,IL1B	 
CNR1	G-protein coupled receptor	3.51E-02	APBB1,CEACAM1,EOMES,FASN,HEYL,RXRG,SREBF1	 
ritonavir	chemical drug	3.51E-02	CRYAB,FADS2,IL1B,MVK,PADI2,SCD,SREBF1	 
2-amino-5-phosphonovaleric acid	chemical - other	3.51E-02	ASB2,FOSB,HDAC4,HDAC9,NR4A3,OTULINL,RELB	 
CFTR	ion channel	3.57E-02	CAPG,FADS2,FAS,SAA1,SCD	 
octanoic acid	chemical - endogenous mammalian	3.58E-02	FASN,SREBF1	 
Actin	group	3.58E-02	IL1B,KCNB1	 
belnacasan	chemical drug	3.58E-02	CASP1,IL1B	 
SGPP1	phosphatase	3.58E-02	IL1B,LOR	 
PER2	transcription regulator	3.58E-02	DBP,IHH	 
NPFF	other	3.58E-02	ID3,SREBF1	 
MVP	other	3.58E-02	CD83,IL1B	 
ACE2	peptidase	3.58E-02	CCN2,IL1B	 
MYH9	enzyme	3.58E-02	LOR,SOX2	 
spermine	chemical - endogenous mammalian	3.58E-02	IL1B,ITGB2	 
noscapine	chemical drug	3.58E-02	BIRC3,CFLAR	 
beta-1,3-glucan	chemical drug	3.58E-02	FGF1,NTF3	 
tunicamycin	chemical - endogenous non-mammalian	3.59E-02	ATF3,BIRC3,DDIT4,IHH,IL1B,SCD,SLC38A5,SLC7A11,STARD5	 
TLR2	transmembrane receptor	3.60E-02	ATF3,EBI3,GBP3,IL15RA,IL1B,IL1RN,SCD,SLC7A11	 
Pka	complex	3.63E-02	AREG,CCN2,DUSP4,IFI6,KCNB1,NR4A3,SREBF1	 
ZBTB16	transcription regulator	3.63E-02	CD274,CD83,ID3,IL21R,IL7R,KLHL6,LY96	 
RAC1	enzyme	3.63E-02	ANKRD1,APBB1,ATF3,CCN2,FAS,IL1B	 
ZBED6	transcription regulator	3.67E-02	DDIT4,LAMP3,TUBB3	 
CHRNA7	transmembrane receptor	3.67E-02	IL1B,IL1RN,TIMP3	 
DNASE2	enzyme	3.67E-02	IFIT3,OAS1,RTP4	 
TYK2	kinase	3.67E-02	CD274,IL1B,PDCD1LG2	 
bryostatin 1	chemical drug	3.67E-02	AREG,BIRC3,IL1B	 
CCL11	cytokine	3.68E-02	FAS,FGF1,IL1B,XCR1	 
estrogen receptor	group	3.68E-02	CAPG,CCN2,FGF1,GJB3,HBEGF,HOTAIR,HSPA1A/HSPA1B,MUC1,TIMP3,UGT8	 
ERBB3	kinase	3.77E-02	CCN2,FSTL1,GJB3,HBEGF,ITGB2,TIMP3	 
isobutylmethylxanthine	chemical toxicant	3.78E-02	ANGPTL4,AREG,CCN2,IFIT3,IL1B,ITGB2,SCD,SREBF1,TIMP3	 
BMP4	growth factor	3.78E-02	ACVR2B,CNN1,DIO3,EFNA1,ID3,KRT23,MXD1,SOX2,TFAP2C	 
IL1	group	3.84E-02	AKR1C1/AKR1C2,AREG,CASP1,CEACAM1,FAS,IL1B,IL1RN,ITGB2,NTF3,RELB,SAA1,SREBF1,XDH	 
lenalidomide	chemical drug	3.86E-02	CARD16,CASP1,CITED2,IFI6,IFIT3,MGLL,PROS1,RASGRP3,RTP4,STAMBPL1	 
CpG oligonucleotide	chemical drug	3.86E-02	CD274,CD83,FAS,GBP3,IFI6,IL1B,OLR1	 
PRKCB	kinase	3.88E-02	CD83,FASN,RELB,SREBF1	 
USP22	peptidase	3.95E-02	ITGB2,NCF2,VAV1	 
APOB	transporter	3.95E-02	FASN,SCD,SREBF1	 
UPF1	enzyme	3.95E-02	ANGPTL4,BIRC3,ERG	 
ING1	transcription regulator	3.95E-02	ANGPTL4,HSPA1A/HSPA1B,SERTAD4	 
sildenafil	chemical drug	3.95E-02	CFLAR,FGF1,TRPC1	 
nicotinic acid	chemical - endogenous mammalian	3.95E-02	CEACAM1,FASN,IL1B	 
SN-38	chemical drug	3.95E-02	BIRC3,FAS,GDF15	 
IgG	complex	3.98E-02	EMP1,FOSB,IL1B,IL1RN,KRT13,PDCD1LG2,PHLDA2,SERPINB7,TUBB2A	 
GH1	growth factor	4.05E-02	ATF3,FASN,ID3,RAD23A,SREBF1,TKT	 
methotrexate	chemical drug	4.05E-02	CTSS,CTSV,FAS,FASN,HMGCS1,IL1B,LY96,SCD,TEF,TIMP3	 
ERBB4	kinase	4.05E-02	CCN5,GJB3,GPC1,HBEGF,TIMP3	 
monophosphoryl lipid A	chemical drug	4.08E-02	IL1B,IL1RN	 
lonafarnib	chemical drug	4.08E-02	BIRC3,CFLAR	 
Gli	group	4.08E-02	GLI1,HHIP	 
1'-acetoxychavicol acetate	chemical reagent	4.08E-02	BIRC3,CFLAR	 
TAP1	transporter	4.08E-02	IL1B,OAS1	 
PMP22	other	4.08E-02	CSPG4,SOX2	 
EHHADH	enzyme	4.08E-02	FASN,MGLL	 
CRKL	kinase	4.08E-02	IL15RA,ISG20	 
SLC2A1	transporter	4.08E-02	DHRS9,SLC7A11	 
PLAGL1	transcription regulator	4.08E-02	ANGPTL4,RASGRF1	 
BTC	growth factor	4.08E-02	FASN,SREBF1	 
RGS1	other	4.08E-02	CITED2,IL15RA	 
perindopril	chemical drug	4.08E-02	ACHE,CCN2	 
dexmedetomidine	chemical drug	4.08E-02	DDIT4,FOSB	 
tranylcypromine	chemical drug	4.08E-02	CD274,RASSF1	 
(-)-norephedrine	chemical drug	4.08E-02	HMGCS1,MVK	 
isoquercitrin	chemical drug	4.08E-02	FASN,INSIG1	 
caffeic acid	chemical drug	4.08E-02	FASN,SREBF1	 
PAX6	transcription regulator	4.08E-02	CEACAM1,CRYAB,EOMES,GNG2,NECAB2,OAS1,SH2D1B,SOX2,TUBB3	 
CHD4	enzyme	4.09E-02	CPNE7,FAS,ID4,NCEH1	 
chloroquine	chemical drug	4.09E-02	CD83,DRAM1,IL1B,ULBP2	 
JAK2	kinase	4.11E-02	ACER2,AKAP12,AKR1C3,CASP1,CFLAR,IL1B,LMO2	 
PGR	ligand-dependent nuclear receptor	4.14E-02	AKR1C3,AREG,BIRC3,CCN5,HBEGF,MTSS1,MUC1,PAPSS2,SERPINB8,SMPDL3B,SPRY2	 
MIF	cytokine	4.19E-02	FASN,IL15RA,IL1B,IL7R,SREBF1,TRIM22	 
mir-21	microRNA	4.23E-02	CD274,DBP,FAS,FGF1,GBP3,IL1B,SOX2,SPRY2,TGM1,TIMP3,TNFRSF9	 
TAC1	other	4.23E-02	CASP1,FOSB,IL1B,IL1RN,VTN	 
NR0B2	ligand-dependent nuclear receptor	4.23E-02	CCN2,FASN,FBP1,SCD,SREBF1	 
NCOA1	transcription regulator	4.24E-02	DBP,EOMES,IL1RN,NOCT,OLR1,PMM2,SREBF1	 
CDX2	transcription regulator	4.24E-02	CLDN1,DHRS9,FGF1,HOXD1,KRT23,SCIN,SOX2	 
IL7	cytokine	4.24E-02	CD274,CEACAM1,CFLAR,DUSP5,FAS,IL7R,TNFRSF9	 
SS18	transcription regulator	4.25E-02	C11orf96,SOX2,TENT5C	 
H2AFX	transcription regulator	4.25E-02	PLEKHA6,SLC7A11,TIMP3	 
SAA1	transporter	4.25E-02	IL1B,IL1RN,SREBF1	 
HSPG2	enzyme	4.25E-02	CTSS,DRAM1,MAP1LC3A	 
FASLG	cytokine	4.25E-02	CFLAR,FAS,IL1B	 
PF4	cytokine	4.25E-02	CD83,CNN1,IL1B	 
parthenolide	chemical drug	4.25E-02	ANKRD1,CASP1,IL1B	 
PD158780	chemical - kinase inhibitor	4.28E-02	HBEGF	 
diphosphoryl lipid A	chemical toxicant	4.28E-02	IL1B	 
syringin	chemical - endogenous non-mammalian	4.28E-02	IL1B	 
loganin	chemical - endogenous non-mammalian	4.28E-02	CCN2	 
EGFR ligand	group	4.28E-02	MUC1	 
glemanserin	chemical drug	4.28E-02	NR4A3	 
UBE2W	enzyme	4.28E-02	LOR	 
MTNR1A	G-protein coupled receptor	4.28E-02	DIO3	 
POPDC2	other	4.28E-02	IL1B	 
SUCNR1	G-protein coupled receptor	4.28E-02	IL1B	 
LBH	transcription regulator	4.28E-02	IL1B	 
lauroylcarnitine	chemical - endogenous mammalian	4.28E-02	CLDN1	 
ZNF385B	other	4.28E-02	FAS	 
MTNR1B	G-protein coupled receptor	4.28E-02	DIO3	 
LCMT1	enzyme	4.28E-02	PPP4R1	 
ACER3	enzyme	4.28E-02	ACER2	 
CBP-ICSBP-IRF-1-PU.1	complex	4.28E-02	NCF2	 
diaziquone	chemical drug	4.28E-02	IL1B	 
RYR3	ion channel	4.28E-02	ATF3	 
KIR	group	4.28E-02	CFLAR	 
Inflammasome (Nalp3, Asc, Casp1)	complex	4.28E-02	IL1B	 
FGF20	growth factor	4.28E-02	SOX2	 
CELA1	peptidase	4.28E-02	HSPA1A/HSPA1B	 
DPP10-AS1	other	4.28E-02	TIMP3	 
CALU	other	4.28E-02	GDF15	 
LAMA3	other	4.28E-02	IL1B	 
ARIH2	enzyme	4.28E-02	IL1B	 
mir-302	microRNA	4.28E-02	HDAC4	 
miR-483-5p (miRNAs w/seed AGACGGG)	mature microRNA	4.28E-02	ARHGDIA	 
miR-532-5p (and other miRNAs w/seed AUGCCUU)	mature microRNA	4.28E-02	NCF2	 
mir-139	microRNA	4.28E-02	EOMES	 
FERMT2	other	4.28E-02	GLI1	 
Zingiber officiale ginger extract	chemical drug	4.28E-02	IL1B	 
MYH1	enzyme	4.28E-02	MYH2	 
GPR34	G-protein coupled receptor	4.28E-02	ITGB2	 
PIKFYVE	kinase	4.28E-02	ATF3	 
IFI30	enzyme	4.28E-02	CTSS	 
SIGLEC11	other	4.28E-02	IL1B	 
MUC16	other	4.28E-02	CFLAR	 
SLC7A11	transporter	4.28E-02	IL1B	 
HNRNPL	other	4.28E-02	CEACAM1	 
DMPK	kinase	4.28E-02	HSPB2	 
Hsf4	transcription regulator	4.28E-02	CRYAB	 
LRP1B	transmembrane receptor	4.28E-02	NCEH1	 
CD8B	other	4.28E-02	IL1B	 
GAB3	other	4.28E-02	OAS1	 
DRP2	other	4.28E-02	DMD	 
capmatinib	chemical drug	4.28E-02	AREG	 
PRIMA1	other	4.28E-02	ACHE	 
EVC	other	4.28E-02	GLI1	 
SNRPE	other	4.28E-02	MAP1LC3A	 
Acp5	phosphatase	4.28E-02	IL1B	 
NLRP1	other	4.28E-02	IL1B	 
CLEC2D	transmembrane receptor	4.28E-02	CD83	 
LINC01410	other	4.28E-02	NCF2	 
