Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Female genital tract cancer	1.85E-02	"ABCA4,ABCA8,ACE2,ATP6V0A4,AZGP1,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DYDC1,ERG,FBLN5,FLG2,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,JPH2,KCNB1,KCNK9,KRT23,MAP6,MUC1,MYH2,NMNAT2,OTOP1,PDCD1LG2,PLP1,RAET1G,RAET1L,RASGRP3,RYR3,SAA1,SIRPB2,SLC18A3,SMPDL3B,STOML3,SYTL2,TEX15,TGM1,TGM4,TNFAIP8L3,TNFRSF9,UBE2QL1,VSIG1,VTN,VWA5B1,WSCD2"	50
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking"	Transmigration of mononuclear leukocytes	1.87E-02	"CTSS,ITGB2,PDCD1LG2"	3
"Cancer,Organismal Injury and Abnormalities"	Head and neck cancer	1.87E-02	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DHRS2,DNAJC12,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,GBX1,GFRA3,GGTLC2,GPD1,GRPR,HOXD1,HSD17B6,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KLHL6,KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,MAB21L4,MAP6,MOBP,MUC1,MYH2,NR4A3,OPN1SW,OTOP1,PDCD1LG2,PLP1,RAET1G,RAET1L,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RYR3,SCEL,SCIN,SH2D1B,SLCO5A1,SMPDL3B,SPINK2,STX11,SYT17,SYTL2,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TP53I3,TSPAN11,UBE2QL1,ULBP2,VIPR2,VTN,VWA5B1,WSCD2,ZMYND15"	96
Cellular Compromise	Stress response of cells	1.88E-02	"CTSS,HSPB2,MUC1,OPN1SW"	4
"Cancer,Organismal Injury and Abnormalities,Renal and Urological Disease"	Bladder carcinoma	1.88E-02	"ADAMTS14,CACNA1A,DHRS9,EMILIN2,FBLN5,FOSB,ITGB2,MAP6,OTOP1,PIFO,RYR3,STX11,SYTL2,TEX15,TMPRSS7,TNFAIP8L3,VIPR2"	17
Cell Death and Survival	Cytolysis by cytotoxic T cells	1.92E-02	"IL21R,STX11"	2
Molecular Transport	Transmembrane transport of H+	1.92E-02	"ATP6V0A4,OTOP1"	2
"Cellular Development,Cellular Growth and Proliferation,Nervous System Development and Function"	Proliferation of oligodendrocyte precursor cells	1.92E-02	"PLP1,VTN"	2
"Cell-To-Cell Signaling and Interaction,Cellular Compromise,Cellular Function and Maintenance,Hematological System Development and Function,Inflammatory Response"	Respiratory burst of neutrophils	1.92E-02	"ITGB2,VTN"	2
"Cancer,Organismal Injury and Abnormalities,Renal and Urological Disease"	Bladder cancer	1.99E-02	"ADAMTS14,BIRC3,CACNA1A,DHRS9,EMILIN2,FBLN5,FOSB,ITGB2,MAP6,OTOP1,PIFO,RYR3,STX11,SYTL2,TEX15,TMPRSS7,TNFAIP8L3,VIPR2"	18
Cell-To-Cell Signaling and Interaction	Binding of cell surface	2.02E-02	"LY96,VTN"	2
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Aggregation of phagocytes	2.02E-02	"ITGB2,TNFRSF9"	2
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities"	T(15;17) mutation negative acute myeloid leukemia	2.02E-02	"ERG,RXRG"	2
"Cellular Movement,Embryonic Development"	Migration of embryonic cell lines	2.03E-02	"ITGB2,RASGRP3,SAA1,VTN"	4
"Antimicrobial Response,Inflammatory Response"	Antiviral response	2.03E-02	"BIRC3,DDIT4,PLP1,RTP4,TNFRSF9"	5
"Cancer,Hematological Disease,Organismal Injury and Abnormalities"	Mature lymphocytic neoplasm	2.05E-02	"BIRC3,CACNA1A,EBI3,FLG2,IL21R,IL31RA,ITGB2,JPH2,KLHL6,MUC1,MYH2,NR4A3,PDCD1LG2,RFTN1,RXRG,RYR3,STX11,TENT5C,TEX14,TEX15,TNFRSF9,VTN"	22
Molecular Transport	Transport of monovalent inorganic cation	2.06E-02	"ATP6V0A4,KCNB1,KCNG3,KCNK9,OTOP1"	5
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities"	Nonpituitary endocrine tumor	2.08E-02	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAPP1,DHRS2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,GBX1,GFRA3,GGTLC2,GPD1,HOXD1,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KLHL6,KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,MAB21L4,MAP6,MOBP,MUC1,MYH2,NR4A3,OPN1SW,OTOP1,PDCD1LG2,RAET1G,RAET1L,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RYR3,SCEL,SCIN,SH2D1B,SLCO5A1,SMPDL3B,SPINK2,STX11,SYT17,SYTL2,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBE2QL1,ULBP2,VIPR2,VTN,VWA5B1,WSCD2,ZMYND15"	92
"Humoral Immune Response,Protein Synthesis"	Quantity of IgE	2.09E-02	"IL21R,IL31RA,VIPR2"	3
"Inflammatory Disease,Organismal Injury and Abnormalities,Respiratory Disease"	Pulmonary emphysema	2.09E-02	"CTSS,DDIT4,FBLN5"	3
"Cell-To-Cell Signaling and Interaction,Cellular Growth and Proliferation,Hematological System Development and Function"	Stimulation of lymphocytes	2.11E-02	"HHLA2,MUC1,PDCD1LG2,TNFRSF9"	4
"Cancer,Organismal Injury and Abnormalities"	Benign Tumors	2.12E-02	"ABCA4,ABCA8,ASB2,GRPR,IHH,MUC1,MYH2,NR4A3,PDCD1LG2,PLP1,RXRG,SLC18A3,TNFRSF9,VTN"	14
"Connective Tissue Development and Function,Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders,Skeletal and Muscular System Development and Function,Tissue Development,Tissue Morphology"	Loss of bone	2.13E-02	"IHH,SCIN"	2
"Neurological Disease,Organismal Injury and Abnormalities"	Tonic-clonic seizure	2.19E-02	"CA13,CACNA1A,FOSB,KCNB1"	4
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Autosomal dominant cerebellar ataxia	2.20E-02	"CACNA1A,MUC1,OPN1SW"	3
"Developmental Disorder,Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease"	Oligosynaptic infertility	2.24E-02	"TEX15,ZMYND15"	2
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Humoral Immune Response"	Response of B lymphocytes	2.24E-02	"CTSS,DAPP1"	2
"Cancer,Organismal Injury and Abnormalities"	Growth of carcinoma	2.27E-02	"CTSS,FBLN5,MUC1,TNFRSF9"	4
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities"	Thyroid gland tumor	2.34E-02	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CYP2J2,DAAM1,DAPP1,DHRS2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,GBX1,GFRA3,GGTLC2,GPD1,HOXD1,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KLHL6,KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,MAB21L4,MAP6,MOBP,MUC1,MYH2,NR4A3,OPN1SW,OTOP1,PDCD1LG2,RAET1G,RAET1L,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RYR3,SCEL,SCIN,SH2D1B,SLCO5A1,SMPDL3B,SPINK2,STX11,SYT17,SYTL2,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBE2QL1,ULBP2,VIPR2,VTN,VWA5B1,WSCD2,ZMYND15"	91
Cellular Assembly and Organization	Docking of vesicles	2.35E-02	"KCNB1,SYTL2"	2
